,DEPTH,ROP,GR,CALI,BS,RD,RT,RM,NPHI,RHOB,DRHO,DT,PEF,label
33580,3546.5,19.74,150.0,8.625,8.5,2.52,2.38,2.38,0.487,2.206,0.039,122.465,7.588,0
33581,3546.6,19.738,150.0,8.625,8.5,2.446,2.239,2.239,0.498,2.211,0.043,121.44,7.632,0
33582,3546.7,19.737,150.0,8.602,8.5,2.497,2.364,2.364,0.494,2.212,0.048,120.415,7.614,0
33583,3546.8,19.736,150.0,8.625,8.5,2.624,2.647,2.647,0.483,2.207,0.05,119.394,7.558,0
33584,3546.9,19.734,150.0,8.625,8.5,2.725,2.833,2.833,0.476,2.199,0.051,118.317,7.467,0
33585,3547.0,19.697,150.0,8.625,8.5,2.731,2.874,2.874,0.477,2.191,0.051,117.279,7.322,0
33586,3547.1,19.66,150.0,8.625,8.5,2.677,2.714,2.714,0.482,2.185,0.052,116.296,7.118,0
33587,3547.2,19.623,150.0,8.625,8.5,2.629,2.655,2.655,0.484,2.178,0.053,115.486,6.92,0
33588,3547.3,19.66,150.0,8.625,8.5,2.649,2.665,2.665,0.483,2.17,0.052,114.858,6.795,0
33589,3547.4,19.697,150.0,8.625,8.5,2.692,2.752,2.752,0.482,2.161,0.048,114.501,6.785,0
33590,3547.5,19.733,150.0,8.625,8.5,2.77,2.907,2.907,0.485,2.153,0.043,114.857,6.88,0
33591,3547.6,19.734,150.0,8.625,8.5,2.875,3.118,3.118,0.493,2.148,0.038,115.283,7.023,0
33592,3547.7,19.735,150.0,8.625,8.5,3.015,3.473,3.473,0.5,2.147,0.038,115.6,7.145,0
33593,3547.8,19.736,150.0,8.648,8.5,3.081,3.595,3.595,0.5,2.147,0.041,115.582,7.191,0
33594,3547.9,19.734,150.0,8.625,8.5,3.095,3.652,3.652,0.5,2.143,0.045,115.459,7.143,0
33595,3548.0,19.733,150.0,8.625,8.5,3.15,3.884,3.884,0.5,2.133,0.047,115.274,7.04,0
33596,3548.1,19.732,150.0,8.625,8.5,3.231,4.151,4.151,0.5,2.114,0.048,115.194,6.938,0
33597,3548.2,19.747,150.0,8.648,8.5,3.163,4.087,4.087,0.5,2.092,0.05,115.196,6.885,0
33598,3548.3,19.761,150.0,8.672,8.5,3.14,4.008,4.008,0.5,2.068,0.051,115.358,6.923,0
33599,3548.4,19.776,150.0,8.648,8.5,3.379,5.253,5.253,0.5,2.046,0.047,115.423,7.102,0
33600,3548.5,19.771,150.0,8.672,8.5,3.706,6.27,6.27,0.5,2.033,0.033,115.425,7.397,0
33601,3548.6,19.766,150.0,8.672,8.5,3.125,4.67,4.67,0.5,2.043,0.014,115.327,7.647,0
33602,3548.7,19.761,150.0,8.625,8.5,2.236,2.2,2.2,0.489,2.082,0.003,115.121,7.693,0
33603,3548.8,19.754,150.0,8.625,8.5,2.005,1.747,1.747,0.461,2.143,0.008,114.873,7.526,0
33604,3548.9,19.748,150.0,8.625,8.5,2.026,1.859,1.859,0.436,2.209,0.025,114.696,7.268,0
33605,3549.0,19.741,150.0,8.672,8.5,2.072,1.996,1.996,0.416,2.256,0.043,114.498,7.052,0
33606,3549.1,19.735,150.0,8.672,8.5,2.098,2.133,2.133,0.406,2.274,0.053,114.302,6.921,0
33607,3549.2,19.73,150.0,8.672,8.5,2.095,2.195,2.195,0.4,2.271,0.052,114.251,6.849,0
33608,3549.3,19.724,150.0,8.672,8.5,2.065,2.241,2.241,0.397,2.263,0.044,114.088,6.83,0
33609,3549.4,19.725,150.0,8.672,8.5,1.938,2.065,2.065,0.397,2.263,0.036,113.852,6.871,0
33610,3549.5,19.725,150.0,8.672,8.5,1.697,1.572,1.572,0.398,2.276,0.036,113.917,6.951,0
33611,3549.6,19.726,150.0,8.625,8.5,1.523,1.165,1.165,0.401,2.296,0.045,113.812,7.023,0
33612,3549.7,19.725,150.0,8.625,8.5,1.59,1.294,1.294,0.402,2.312,0.057,113.547,7.069,0
33613,3549.8,19.724,150.0,8.672,8.5,1.813,1.777,1.777,0.403,2.313,0.062,113.535,7.121,0
33614,3549.9,19.722,150.0,8.625,8.5,1.923,2.151,2.151,0.409,2.301,0.058,113.395,7.208,0
33615,3550.0,19.723,150.0,8.625,8.5,1.922,2.165,2.165,0.411,2.287,0.047,113.113,7.316,0
33616,3550.1,19.724,150.0,8.672,8.5,1.879,2.083,2.083,0.412,2.282,0.04,113.11,7.386,0
33617,3550.2,19.725,150.0,8.625,8.5,1.839,1.954,1.954,0.415,2.286,0.04,113.124,7.37,0
33618,3550.3,19.719,150.0,8.625,8.5,1.799,1.871,1.871,0.419,2.293,0.045,113.138,7.266,0
33619,3550.4,19.714,150.0,8.625,8.5,1.805,1.899,1.899,0.423,2.296,0.05,113.922,7.101,0
33620,3550.5,19.709,150.0,8.625,8.5,1.801,1.896,1.896,0.424,2.294,0.054,114.699,6.929,0
33621,3550.6,19.72,150.0,8.625,8.5,1.844,2.01,2.01,0.422,2.287,0.054,115.314,6.813,0
33622,3550.7,19.732,150.0,8.648,8.5,1.905,2.172,2.172,0.419,2.278,0.052,115.914,6.763,0
33623,3550.8,19.744,150.0,8.625,8.5,1.938,2.222,2.222,0.427,2.27,0.049,116.363,6.731,0
33624,3550.9,19.701,150.0,8.648,8.5,1.906,2.1,2.1,0.433,2.265,0.046,116.501,6.677,0
33625,3551.0,19.659,150.0,8.672,8.5,1.73,1.683,1.683,0.435,2.262,0.044,116.538,6.599,0
33626,3551.1,19.617,150.0,8.672,8.5,1.662,1.556,1.556,0.428,2.262,0.043,116.591,6.551,0
33627,3551.2,19.65,150.0,8.648,8.5,1.732,1.709,1.709,0.418,2.263,0.044,116.753,6.585,0
33628,3551.3,19.683,150.0,8.625,8.5,1.849,1.965,1.965,0.409,2.264,0.046,116.838,6.681,0
33629,3551.4,19.716,150.0,8.625,8.5,1.89,2.065,2.065,0.406,2.265,0.049,116.841,6.772,0
33630,3551.5,19.678,150.0,8.625,8.5,1.862,1.975,1.975,0.408,2.264,0.049,116.65,6.802,0
33631,3551.6,19.639,150.0,8.625,8.5,1.848,1.917,1.917,0.413,2.262,0.048,116.57,6.774,0
33632,3551.7,19.6,150.0,8.648,8.5,1.823,1.836,1.836,0.414,2.259,0.043,116.507,6.752,0
33633,3551.8,19.639,150.0,8.672,8.5,1.765,1.711,1.711,0.413,2.259,0.037,116.316,6.782,0
33634,3551.9,19.677,150.0,8.672,8.5,1.763,1.72,1.72,0.409,2.262,0.033,116.316,6.875,0
33635,3552.0,19.715,150.0,8.625,8.5,1.81,1.822,1.822,0.406,2.269,0.033,116.4,7.01,0
33636,3552.1,19.714,150.0,8.625,8.5,1.866,1.897,1.897,0.404,2.28,0.036,116.388,7.167,0
33637,3552.2,19.713,150.0,8.625,8.5,1.853,1.837,1.837,0.406,2.291,0.04,116.353,7.322,0
33638,3552.3,19.712,150.0,8.648,8.5,1.854,1.814,1.814,0.411,2.301,0.044,116.291,7.447,0
33639,3552.4,19.713,150.0,8.648,8.5,1.875,1.834,1.834,0.425,2.306,0.049,116.094,7.519,0
33640,3552.5,19.713,150.0,8.625,8.5,1.9,1.857,1.857,0.436,2.305,0.051,115.897,7.549,0
33641,3552.6,19.714,150.0,8.625,8.5,1.891,1.811,1.811,0.441,2.298,0.051,115.697,7.56,0
33642,3552.7,19.731,150.0,8.625,8.5,1.902,1.809,1.809,0.441,2.287,0.05,115.455,7.563,0
33643,3552.8,19.749,150.0,8.625,8.5,1.979,2.003,2.003,0.441,2.276,0.048,115.157,7.544,0
33644,3552.9,19.766,150.0,8.625,8.5,2.1,2.21,2.21,0.444,2.268,0.046,114.806,7.493,0
33645,3553.0,19.765,150.0,8.625,8.5,2.115,2.255,2.255,0.447,2.261,0.041,114.501,7.431,0
33646,3553.1,19.764,150.0,8.625,8.5,2.099,2.192,2.192,0.445,2.253,0.034,114.332,7.407,0
33647,3553.2,19.762,150.0,8.625,8.5,2.095,2.14,2.14,0.437,2.246,0.027,114.32,7.463,0
33648,3553.3,19.759,150.0,8.648,8.5,2.153,2.234,2.234,0.435,2.243,0.025,114.313,7.556,0
33649,3553.4,19.756,150.0,8.625,8.5,2.266,2.527,2.527,0.436,2.245,0.029,114.261,7.61,0
33650,3553.5,19.753,150.0,8.625,8.5,2.347,2.725,2.725,0.441,2.25,0.037,114.147,7.566,0
33651,3553.6,19.711,150.0,8.625,8.5,2.32,2.578,2.578,0.443,2.251,0.043,113.76,7.419,0
33652,3553.7,19.67,150.0,8.625,8.5,2.233,2.412,2.412,0.443,2.249,0.043,113.63,7.257,0
33653,3553.8,19.629,150.0,8.578,8.5,2.219,2.341,2.341,0.441,2.244,0.037,113.994,7.174,0
33654,3553.9,19.622,150.0,8.602,8.5,2.237,2.389,2.389,0.438,2.244,0.03,114.25,7.214,0
33655,3554.0,19.615,150.0,8.625,8.5,2.197,2.277,2.277,0.439,2.25,0.027,114.521,7.339,0
33656,3554.1,19.609,150.0,8.625,8.5,2.109,2.033,2.033,0.441,2.263,0.032,114.866,7.467,0
